Kategorie,Preisklasse,Modell,CPU,RAM,Speicher,Display,Details/Besonderheiten,Günstigster Preis (ca.)
Tablet,< 200 €,Samsung Galaxy Tab A9+,Snapdragon 695,4GB,64GB,"11"" FHD+ (90Hz)","Zuverlässiger Allrounder, langer Software-Support (Android)",~ 145 €
Tablet,< 200 €,Xiaomi Redmi Pad SE,Snapdragon 680,4GB,128GB,"11"" FHD+ (90Hz)","Preis-Leistungs-Sieger, Metallgehäuse, viel Speicher",~ 130 €
Tablet,< 200 €,Lenovo Tab M11,Helio G88,4GB,128GB,"11"" FHD (90Hz)","Oft inkl. Stift, gut für Schüler",~ 150 €
Tablet,< 200 €,Honor Pad X9,Snapdragon 685,4GB,128GB,"11.5"" 2K (120Hz)","Bestes Display in der Klasse, 6 Lautsprecher",~ 150 €
Notebook,< 200 €,WARNUNG (LincPlus etc.),Celeron N4020,4GB,64GB eMMC,"14"" HD/FHD",Nicht empfohlen! Sehr langsam. Besser gebraucht kaufen.,< 200 €
Tablet,< 400 €,Xiaomi Pad 6,Snapdragon 870,6GB,128GB,"11"" WQHD+ (144Hz)","Sehr schnell (Oberklasse-Chip), Top-Display",~ 340 €
Tablet,< 400 €,Samsung Galaxy Tab S9 FE,Exynos 1380,6GB,128GB,"10.9"" FHD+ (90Hz)","Inkl. S-Pen, Wasserfest (IP68), sehr wertig",~ 330 €
Tablet,< 400 €,Apple iPad (9. Gen),A13 Bionic,3GB,64GB,"10.2"" Retina (60Hz)","Einstiegs-iPad, Home-Button, Lightning-Port",~ 290 €
Tablet,< 400 €,Apple iPad (10. Gen),A14 Bionic,4GB,64GB,"10.9"" Retina (60Hz)","Modernes Design, USB-C, schneller als Gen 9",~ 320 €
Tablet,< 400 €,Lenovo Tab P11 Pro G2,Kompanio 1300T,8GB,256GB,"11.2"" OLED (120Hz)","OLED-Display (perfektes Schwarz), viel Speicher",~ 350 €
Notebook,< 400 €,Lenovo V15 G4,Ryzen 3 7320U,8GB,256GB SSD,"15.6"" FHD","Solides Arbeitsgerät, gute Tastatur",~ 300 €
Notebook,< 400 €,HP 255 G10,Ryzen 5 7520U,8GB,512GB SSD,"15.6"" FHD",Oft bestes Preis-Leistungs-Verhältnis bei Leistung,~ 330 €
Notebook,< 400 €,ASUS Vivobook Go 15,Ryzen 3 7320U,8GB,512GB SSD,"15.6"" FHD (OLED opt.)","Schickes Design, leicht, teils OLED möglich",~ 300 €
Notebook,< 400 €,Acer Chromebook 314,Celeron N4500,4GB/8GB,64GB/128GB,"14"" FHD (Mat)","ChromeOS: Schnell, sicher, aber kein Windows",~ 200 €
